Award Year,Movie,Win,Total wins,Nominations,Critic,User,RatingDiff,Budget,Revenue,ROI
2011,Toy Story 3,N,2,5,0.99,0.89,0.10,200000000,1063171911,4.32
2015,Selma,N,1,2,0.99,0.86,0.13,20000000,66787908,2.34
2010,Up,N,2,5,0.98,0.90,0.08,175000000,731342744,3.18
2016,Brooklyn,NA,0,3,0.98,0.89,0.09,10000000,34486749,1.84
2010,The Hurt Locker,W,6,9,0.98,0.84,0.14,15000000,42000000,1.80
2015,Boyhood,N,1,6,0.98,0.81,0.17,4000000,44349000,10.09
2012,The Artist,W,5,10,0.97,0.87,0.10,15000000,133432856,7.90
2016,Mad Max: Fury Road,NA,0,10,0.97,0.86,0.11,150000000,376736354,1.51
2001,"Crouching TIger, Hidden Dragon",N,4,10,0.97,0.86,0.11,17000000,213525736,11.56
2014,Gravity,N,7,10,0.97,0.80,0.17,105000000,716392705,5.82
2007,The Queen,N,1,6,0.97,0.76,0.21,15000000,123384128,7.23
2016,Spotlight,NA,0,6,0.96,0.95,0.01,20000000,53668275,1.68
2003,The Lord of the Rings: The Two Towers,N,2,6,0.96,0.95,0.01,79000000,926287400,10.73
2003,The Pianist,N,3,7,0.96,0.95,0.01,35000000,120072577,2.43
2016,Room,NA,0,4,0.96,0.94,0.02,6000000,12092744,1.02
2014,12 Years a Slave,W,3,9,0.96,0.90,0.06,22000000,204969562,8.32
2013,Argo,W,3,7,0.96,0.90,0.06,44500000,232324128,4.22
2011,The Social Network,N,3,8,0.96,0.86,0.10,40000000,224920315,4.62
2011,True Grit ,N,0,10,0.96,0.85,0.11,38000000,252276927,5.64
2005,Sideways,N,1,5,0.96,0.78,0.18,16000000,109502303,5.84
2011,The King's Speech ,W,4,12,0.95,0.92,0.03,15000000,414211549,26.61
2004,Lost in Translation,N,1,4,0.95,0.86,0.09,4000000,9000000,1.25
2002,The Lord of the Rings: The Fellowship of the Ring,N,4,13,0.95,0.86,0.09,93000000,871368364,8.37
2015,Whiplash,N,3,5,0.94,0.94,0.00,3300000,13993092,3.24
2014,Dallas Buyers Club,N,3,6,0.94,0.91,0.03,5000000,55198285,10.04
2009,Milk,N,2,8,0.94,0.89,0.05,20000000,54586584,1.73
2008,Juno,N,1,4,0.94,0.88,0.06,7500000,231411584,29.85
2012,Moneyball,N,0,6,0.94,0.86,0.08,50000000,110206216,1.20
2014,Her,N,1,5,0.94,0.82,0.12,23000000,47351251,1.06
2010,An Education,N,0,3,0.94,0.80,0.14,7500000,26096852,2.48
