title,url,reviewDate,releaseDate,classification,duration,genre,lead,director,language,distributor,scoreMargaret,scoreDavid,totalRating
A Separation,http://www.abc.net.au/atthemovies/txt/s3430715.htm,2/29/2012,1/3/2012,PG,118,Drama,Peyman Moadi,Asghar Farhadi,Iranian,Hopscotch,5,5,10
Amour,http://www.abc.net.au/atthemovies/txt/s3683777.htm,2/19/2013,21/02/2012,M,122,"Drama, Romance",Jean-Louis Trintignant,Michael Heneke,French,Transmission Films,5,5,10
Brokeback Mountain,http://www.abc.net.au/atthemovies/txt/s1533013.htm,12/18/2005,26/12/2005,M,134,Drama,Heath Ledger,Ang Lee,English,Roadshow Films,5,5,10
"Good Night, and Good Luck",http://www.abc.net.au/atthemovies/txt/s1532953.htm,12/18/2005,15/12/2005,PG,93,Drama,David Strathhairn,George Clooney,English,Dendy Films,5,5,10
No Country For Old Men,http://www.abc.net.au/atthemovies/txt/s2099568.htm,12/16/2007,26/12/2007,MA15+,121,Drama,Tommy Lee Jones,Ethan Coen,English,Paramount Pictures Australia,5,5,10
Samson & Delilah,http://www.abc.net.au/atthemovies/txt/s2542612.htm,4/29/2009,,MA15+,97,Drama,Rowan McNamara,Warwick Thornton,English,Footprint Films,5,5,10
Bright Star,http://www.abc.net.au/atthemovies/txt/s2750512.htm,12/6/2009,26/12/2009,PG,119,"Biography, Drama, Romance",Ben Whishaw,Jane Campion,English,Hopscotch,4.5,5,9.5
Capote,http://www.abc.net.au/atthemovies/txt/s1569443.htm,2/15/2006,23/02/2006,M,114,Drama,Philip Seymour Hoffman,Bennett Miller,English,Sony,5,4.5,9.5
Happy Feet,http://www.abc.net.au/atthemovies/txt/s1801725.htm,12/17/2006,26/12/2006,G,108,Animation,Elijah Wood,George Miller,English,Roadshow Films,4.5,5,9.5
Hugo,http://www.abc.net.au/atthemovies/txt/s3376564.htm,12/7/2011,12/1/2012,,96,"Adventure, Drama, Family, Fantasy",Ben Kingsley,Martin Scorsese,English,Paramount Pictures Australia,4.5,5,9.5
Into The Wild,http://www.abc.net.au/atthemovies/txt/s2086588.htm,11/28/2007,29/11/2007,M,148,Drama,Emile Hirsch,Sean Penn,English,Paramount Pictures,5,4.5,9.5
"Lust, Caution",http://www.abc.net.au/atthemovies/txt/s2099620.htm,12/16/2007,17/01/2008,R18+,158,Drama,Tony Leung,Ang Lee,Mandarin,Universal,5,4.5,9.5
Milk,http://www.abc.net.au/atthemovies/txt/s2425401.htm,12/14/2008,29/01/2009,M,128,Drama,Sean Penn,Gus Van Sant,English,Universal Pictures,4.5,5,9.5
Sideways,http://www.abc.net.au/atthemovies/txt/s1249884.htm,12/2/2004,26/01/2005,MA15+,127,Drama,Paul Giamatti,Alexander Payne,English,20th Century Fox,4.5,5,9.5
The Grand Budapest Hotel,http://www.abc.net.au/atthemovies/txt/s3970026.htm,4/8/2014,10/4/2014,M,100,"Comedy, Drama",Ralph Fiennes,Wes Anderson,English,20th Century Fox,5,4.5,9.5
The Return,http://www.abc.net.au/atthemovies/txt/s1137517.htm,7/1/2004,1/7/2004,MA15+,110,Drama,,Andrey Zvagintsev,Russian,Palace Films,5,4.5,9.5
The Social Network,http://www.abc.net.au/atthemovies/txt/s3012394.htm,10/27/2010,28/10/2010,M,120,Drama,Jesse Eisenberg,David Fincher,English,Sony Pictures Releasing,4.5,5,9.5
The Wrestler,http://www.abc.net.au/atthemovies/txt/s2425374.htm,12/14/2008,15/01/2009,,,Drama,Mickey Rourke,Darren Aronofsky,English,Hopscotch,5,4.5,9.5
There Will Be Blood,http://www.abc.net.au/atthemovies/txt/s2143983.htm,2/13/2008,9/2/2008,M,158,Drama,Daniel Day-Lewis,Paul Thomas Anderson,English,Walt Disney Studios,4.5,5,9.5
